"Details","Phylum","Class","Order","Family","Genus","Species","Strain name","Strain name synonym","NCBI ID","WoRMS ID","Reads Type"
"","Haptophyta","Prymnesiophyceae","Isochrysidales","Isochrysidales","Emiliania","huxleyi","j24","","2903","115104","paired"
"","Ochrophyta","Bacillariophyceae","Surirellales","Surirellales","Entomoneis","sp","CCMP2396","CCMP2396","186043","156598","paired"
"","Rhodophyta","Rhodophyceae","Porphyridiales-1","Porphyridiales-1","Erythrolobus","australicus","CCMP3124","CCMP3124","1077150","837208","paired"
"","Rhodophyta","Rhodophyceae","Porphyridiales-1","Porphyridiales-1","Erythrolobus","madagascarensis","CCMP3276","CCMP3276","708628","624230","paired"
"","Ochrophyta","Mediophyceae","Biddulphiales","Biddulphiales","Eucampia","antarctica","CCMP1452","CCMP1452","49252","667138","paired"
"","Ciliophora","Spirotrichea","Euplotia","Euplotia","Euplotes","crassus","CT5","","5936","427687","paired"
"","Ciliophora","Spirotrichea","Euplotia","Euplotia","Euplotes","focardii","TN1","","36767","341651","paired"
"","Ciliophora","Spirotrichea","Euplotia","Euplotia","Euplotes","harpa","FSP1.4","","151035","417113","paired"
"","Discoba","Euglenozoa","Euglenida","Euglenida","Eutreptiella","gymnastica","NIES-381","","73025","110652","paired"
"","Discoba","Euglenozoa","Euglenida","Euglenida","Eutreptiella","gymnastica-like","CCMP1594","CCMP1594","73025","110652","paired"
"","Haptophyta","Pavlovophyceae","Pavlovales","Pavlovales","Exanthemachrysis","gayraliae","AC15","RCC1523","119497","590562","paired"
"","Ochrophyta","Mediophyceae","Cymatosirales","Cymatosirales","Extubocellulus","spinifer","CCMP396","CCMP396","265572","669620","paired"
"","Ciliophora","Heterotrichea","Heterotrichida","Heterotrichida","Fabrea","salina","Fabrea salina","","342563","417075","paired"
"","Ochrophyta","Pelagophyceae","Pelagophyceae_X","Pelagophyceae_X","Pelagomonas","calceolata","IndianOcean_17-1","RCC706","35675","345504","paired"
"","Ciliophora","Spirotrichea","Choreotrichia","Choreotrichia","Favella","ehrenbergii","Fehren 1","","182087","235761","paired"
"","Ciliophora","Spirotrichea","Choreotrichia","Choreotrichia","Favella","taraikaensis","Fe Narragansett Bay","","626734","732665","paired"
"","Ochrophyta","Raphidophyceae","Raphidophyceae_X","Raphidophyceae_X","Fibrocapsa","japonica","CCMP1661","CCMP1661","94617","233761","paired"
"","Conosa","Variosea","Variosea_X","Variosea_X","Filamoeba","nolandi","NC-AS-23-1","","136452","","paired"
"","Ochrophyta","Dictyochophyceae","Florenciellales","Florenciellales","Florenciella","parvula","MICROVIR 9CH_0","RCC1693","236787","178628","paired"
"","Ochrophyta","Dictyochophyceae","Florenciellales","Florenciellales","Florenciella","parvula","CCMP2471","CCMP2471","236787","178628","paired"
"","Ochrophyta","Dictyochophyceae","Florenciellales","Florenciellales","Florenciella","sp","MICROVIR 4CH_0","RCC1587","236786","178627","paired"
"","Ochrophyta","Dictyochophyceae","Florenciellales","Florenciellales","Florenciella","sp","Biosope_40 A","RCC1007","236786","178627","paired"
"","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariales","Fragilariopsis","kerguelensis","L26-C5","","186038","573621","paired"
"","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariales","Fragilariopsis","kerguelensis","L2-C3","","186038","573621","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Gambierdiscus","australes","CAWD149","","439317","233377","paired"
"","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Cryptophyceae_X","Geminigera","cryophila","CCMP2564","CCMP2564","46947","341616","paired"
"","Cryptophyta","Cryptophyceae","Cryptophyceae_X","Cryptophyceae_X","Geminigera","sp","Geminigera Caron Lab Isolate","","46946","341305","paired"
"","Haptophyta","Prymnesiophyceae","Isochrysidales","Isochrysidales","Gephyrocapsa","muellerae","CHC184","RCC3370","1663125","341588","paired"
